State,District,Year,Crop,Season,Area,Production,Yield,Annual_Rainfall,Fertilizer
,,2017 - 2018,Groundnut,Kharif,650.0,440.0,0.68,1000,50
,,2017 - 2018,Jowar,Kharif,300.0,630.0,2.1,1000,50
,,2017 - 2018,Linseed,Rabi,4480.0,1620.0,0.36,1000,50
,,2017 - 2018,Maize,Kharif,14000.0,27970.0,2.0,1000,50
,,2017 - 2018,Masoor,Rabi,14300.0,10210.0,0.71,1000,50
,,2017 - 2018,Moong(Green Gram),Kharif,1300.0,610.0,0.47,1000,50
,,2017 - 2018,Other Rabi pulses,Rabi,150.0,70.0,0.47,1000,50
,,2017 - 2018,Peas & beans (Pulses),Rabi,4100.0,2870.0,0.7,1000,50
,,2017 - 2018,Rapeseed &Mustard,Rabi,7940.0,3450.0,0.43,1000,50
,,2017 - 2018,Rice,Kharif,107200.0,171440.0,1.6,1000,50
,,2017 - 2018,Soyabean,Kharif,5700.0,4410.0,0.77,1000,50
,,2017 - 2018,Urad,Kharif,4000.0,2770.0,0.69,1000,50
,,2017 - 2018,Wheat,Rabi,16680.0,60780.0,3.64,1000,50
,,2017 - 2018,Niger seed,Kharif,8500.0,3910.0,0.46,1000,50
,,2017 - 2018,Horse-gram,Kharif,80.0,30.0,0.38,1000,50
,,2017 - 2018,Small millets,Kharif,12520.0,11970.0,0.96,1000,50
,,2018 - 2019,Arhar/Tur,Kharif,1784.0,894.0,0.5,1000,50
,,2018 - 2019,Bajra,Kharif,3.0,5.0,1.67,1000,50
,,2018 - 2019,Barley,Kharif,21.0,13.0,0.62,1000,50
,,2018 - 2019,Gram,Rabi,6416.0,4125.0,0.64,1000,50
,,2018 - 2019,Groundnut,Kharif,153.0,148.0,0.97,1000,50
,,2018 - 2019,Jowar,Kharif,48.0,40.0,0.83,1000,50
,,2018 - 2019,Linseed,Rabi,3086.0,1315.0,0.43,1000,50
,,2018 - 2019,Maize,Kharif,9913.0,15868.0,1.6,1000,50
,,2018 - 2019,Masoor,Rabi,11731.0,5701.0,0.49,1000,50
,,2018 - 2019,Moong(Green Gram),Kharif,8.0,3.0,0.38,1000,50
,,2018 - 2019,Other Rabi pulses,Rabi,536.0,135.0,0.25,1000,50
,,2018 - 2019,Peas & beans (Pulses),Rabi,1489.0,741.0,0.5,1000,50
,,2018 - 2019,Rapeseed &Mustard,Rabi,5584.0,1301.0,0.23,1000,50
,,2018 - 2019,Rice,Kharif,102416.0,136084.0,1.33,1000,50
,,2018 - 2019,Soyabean,Kharif,3730.0,2618.0,0.7,1000,50
,,2018 - 2019,Urad,Kharif,1308.0,572.0,0.44,1000,50
,,2018 - 2019,Wheat,Rabi,13728.0,24249.0,1.77,1000,50
,,2018 - 2019,Jute,Kharif,1.0,,,1000,50
,,2018 - 2019,Niger seed,Kharif,2901.0,965.0,0.33,1000,50
,,2018 - 2019,Horse-gram,Kharif,4.0,1.0,0.25,1000,50
,,2018 - 2019,Small millets,Kharif,7314.0,3906.0,0.53,1000,50
,,2019 - 2020,Arhar/Tur,Kharif,3582.0,2078.0,0.58,1000,50
,,2019 - 2020,Bajra,Kharif,1.0,2.0,2.0,1000,50
