State,District,Year,Crop,Season,Area,Production,Yield,Annual_Rainfall,Fertilizer
,,2015 - 2016,Gram,Rabi,162000.0,173000.0,1.07,1000,50
,,2015 - 2016,Groundnut,Kharif,1000.0,1000.0,1.0,1000,50
,,2015 - 2016,Jowar,Kharif,1000.0,3000.0,3.0,1000,50
,,2015 - 2016,Linseed,Rabi,5000.0,2000.0,0.4,1000,50
,,2015 - 2016,Maize,Kharif,5000.0,11000.0,2.2,1000,50
,,2015 - 2016,Masoor,Rabi,23000.0,23000.0,1.0,1000,50
,,2015 - 2016,Moong(Green Gram),Kharif,5000.0,1000.0,0.2,1000,50
,,2015 - 2016,Other Rabi pulses,Rabi,2000.0,2000.0,1.0,1000,50
,,2015 - 2016,Peas & beans (Pulses),Rabi,15000.0,14000.0,0.93,1000,50
,,2015 - 2016,Rapeseed &Mustard,Rabi,3000.0,3000.0,1.0,1000,50
,,2015 - 2016,Rice,Kharif,73000.0,86660.0,1.19,1000,50
,,2015 - 2016,Soyabean,Kharif,103000.0,135000.0,1.31,1000,50
,,2015 - 2016,Urad,Kharif,48000.0,25000.0,0.52,1000,50
,,2015 - 2016,Wheat,Rabi,80000.0,161000.0,2.01,1000,50
,,2015 - 2016,Other Cereals,Kharif,1000.0,1000.0,1.0,1000,50
,,2016 - 2017,Arhar/Tur,Kharif,36000.0,53000.0,1.47,1000,50
,,2016 - 2017,Barley,Kharif,100.0,290.0,2.9,1000,50
,,2016 - 2017,Gram,Rabi,174000.0,243000.0,1.4,1000,50
,,2016 - 2017,Groundnut,Kharif,2000.0,3000.0,1.5,1000,50
,,2016 - 2017,Jowar,Kharif,3000.0,6000.0,2.0,1000,50
,,2016 - 2017,Linseed,Rabi,2000.0,1000.0,0.5,1000,50
,,2016 - 2017,Maize,Kharif,5000.0,9000.0,1.8,1000,50
,,2016 - 2017,Masoor,Rabi,25000.0,25000.0,1.0,1000,50
,,2016 - 2017,Moong(Green Gram),Kharif,9000.0,5000.0,0.56,1000,50
,,2016 - 2017,Other Rabi pulses,Rabi,1000.0,700.0,0.7,1000,50
,,2016 - 2017,Peas & beans (Pulses),Rabi,42000.0,19000.0,0.45,1000,50
,,2016 - 2017,Rice,Kharif,80000.0,150000.0,1.88,1000,50
,,2016 - 2017,Soyabean,Kharif,70000.0,60000.0,0.86,1000,50
,,2016 - 2017,Urad,Kharif,65000.0,75000.0,1.15,1000,50
,,2016 - 2017,Wheat,Rabi,95000.0,333000.0,3.51,1000,50
,,2016 - 2017,Mesta,Kharif,350.0,,,1000,50
,,2016 - 2017,Sunflower,Rabi,200.0,200.0,1.0,1000,50
,,2016 - 2017,Other Cereals,Rabi,60.0,30.0,0.5,1000,50
,,2016 - 2017,Safflower,Rabi,480.0,350.0,0.73,1000,50
,,2017 - 2018,Arhar/Tur,Kharif,36200.0,52490.0,1.45,1000,50
,,2017 - 2018,Barley,Kharif,100.0,100.0,1.0,1000,50
,,2017 - 2018,Gram,Rabi,185750.0,278630.0,1.5,1000,50
,,2017 - 2018,Groundnut,Kharif,1650.0,2390.0,1.45,1000,50
,,2017 - 2018,Jowar,Kharif,3100.0,7290.0,2.35,1000,50
,,2017 - 2018,Linseed,Rabi,1110.0,890.0,0.8,1000,50
,,2017 - 2018,Maize,Kharif,5030.0,9560.0,1.9,1000,50
,,2017 - 2018,Masoor,Rabi,24600.0,27700.0,1.13,1000,50
,,2017 - 2018,Moong(Green Gram),Kharif,9590.0,7190.0,0.75,1000,50
,,2017 - 2018,Peas & beans (Pulses),Rabi,17080.0,19420.0,1.14,1000,50
,,2017 - 2018,Rapeseed &Mustard,Rabi,3500.0,2800.0,0.8,1000,50
,,2017 - 2018,Rice,Kharif,75700.0,126160.0,1.67,1000,50
,,2017 - 2018,Soyabean,Kharif,66500.0,89780.0,1.35,1000,50
,,2017 - 2018,Urad,Kharif,105400.0,142290.0,1.35,1000,50
,,2017 - 2018,Wheat,Rabi,81600.0,285600.0,3.5,1000,50
,,2017 - 2018,Small millets,Kharif,120.0,70.0,0.58,1000,50
,,2018 - 2019,Arhar/Tur,Kharif,2759.0,2243.0,0.81,1000,50
,,2018 - 2019,Barley,Kharif,1.0,2.0,2.0,1000,50
,,2018 - 2019,Gram,Rabi,152425.0,221931.0,1.46,1000,50
,,2018 - 2019,Groundnut,Kharif,45.0,59.0,1.31,1000,50
,,2018 - 2019,Jowar,Kharif,18.0,44.0,2.44,1000,50
,,2018 - 2019,Linseed,Rabi,63.0,55.0,0.87,1000,50
,,2018 - 2019,Maize,Kharif,540.0,1390.0,2.57,1000,50
,,2018 - 2019,Masoor,Rabi,16752.0,12732.0,0.76,1000,50
,,2018 - 2019,Moong(Green Gram),Kharif,9824.0,4323.0,0.44,1000,50
,,2018 - 2019,Other Rabi pulses,Rabi,3.0,2.0,0.67,1000,50
,,2018 - 2019,Peas & beans (Pulses),Rabi,729.0,532.0,0.73,1000,50
,,2018 - 2019,Rapeseed &Mustard,Rabi,973.0,662.0,0.68,1000,50
,,2018 - 2019,Rice,Kharif,76526.0,81774.0,1.07,1000,50
,,2018 - 2019,Soyabean,Kharif,34188.0,31726.0,0.93,1000,50
,,2018 - 2019,Urad,Kharif,187019.0,91639.0,0.49,1000,50
,,2018 - 2019,Wheat,Rabi,133244.0,340444.0,2.56,1000,50
,,2018 - 2019,Niger seed,Kharif,2.0,1.0,0.5,1000,50
,,2019 - 2020,Arhar/Tur,Kharif,2842.0,3311.0,1.17,1000,50
,,2019 - 2020,Bajra,Kharif,3.0,6.0,2.0,1000,50
,,2019 - 2020,Barley,Rabi,17.0,26.0,1.53,1000,50
,,2019 - 2020,Gram,Rabi,115309.0,169274.0,1.47,1000,50
,,2019 - 2020,Groundnut,Kharif,61.0,45.0,0.74,1000,50
,,2019 - 2020,Jowar,Kharif,45.0,30.0,0.67,1000,50
,,2019 - 2020,Linseed,Rabi,89.0,85.0,0.96,1000,50
,,2019 - 2020,Maize,Kharif,630.0,1645.0,2.61,1000,50
,,2019 - 2020,Masoor,Rabi,22922.0,17012.0,0.74,1000,50
,,2019 - 2020,Moong(Green Gram),Kharif,1988.0,369.0,0.19,1000,50
,,2019 - 2020,Other Rabi pulses,Rabi,8.0,6.0,0.75,1000,50
,,2019 - 2020,Peas & beans (Pulses),Rabi,902.0,643.0,0.71,1000,50
,,2019 - 2020,Rapeseed &Mustard,Rabi,1094.0,1201.0,1.1,1000,50
,,2019 - 2020,Rice,Kharif,77713.0,103630.0,1.33,1000,50
,,2019 - 2020,Soyabean,Kharif,89879.0,59949.0,0.67,1000,50
,,2019 - 2020,Urad,Kharif,136864.0,15352.0,0.11,1000,50
,,2019 - 2020,Wheat,Rabi,167411.0,408650.0,2.44,1000,50
,,2019 - 2020,Sesamum,Kharif,772.0,216.0,0.28,1000,50
,,2019 - 2020,Small millets,Kharif,1.0,,0.0,1000,50
,,2020 - 2021,Arhar/Tur,Kharif,1687.0,2445.0,1.45,1000,50
,,2020 - 2021,Barley,Rabi,2.0,3.0,1.5,1000,50
,,2020 - 2021,Gram,Rabi,106976.0,179185.0,1.68,1000,50
,,2020 - 2021,Groundnut,Kharif,64.0,154.0,2.41,1000,50
,,2020 - 2021,Jowar,Kharif,29.0,39.0,1.34,1000,50
,,2020 - 2021,Linseed,Rabi,44.0,39.0,0.89,1000,50
,,2020 - 2021,Maize,Kharif,923.0,2249.0,2.44,1000,50
,,2020 - 2021,Masoor,Rabi,29511.0,37480.0,1.27,1000,50
,,2020 - 2021,Moong(Green Gram),Kharif,1792.0,1398.0,0.78,1000,50
,,2020 - 2021,Peas & beans (Pulses),Rabi,795.0,580.0,0.73,1000,50
,,2020 - 2021,Rapeseed &Mustard,Rabi,877.0,1162.0,1.32,1000,50
,,2020 - 2021,Rice,Kharif,87252.0,116350.0,1.33,1000,50
,,2020 - 2021,Soyabean,Kharif,131718.0,80348.0,0.61,1000,50
,,2020 - 2021,Urad,Kharif,90975.0,14283.0,0.16,1000,50
,,2020 - 2021,Wheat,Rabi,175791.0,486765.0,2.77,1000,50
,,2020 - 2021,Sesamum,Kharif,2584.0,1563.0,0.6,1000,50
,,2021 - 2022,Arhar/Tur,Kharif,6531.0,5303.0,0.81,1000,50
,,2021 - 2022,Gram,Rabi,98697.0,178049.0,1.8,1000,50
,,2021 - 2022,Groundnut,Kharif,18.0,43.0,2.39,1000,50
,,2021 - 2022,Jowar,Kharif,18.0,29.0,1.61,1000,50
,,2021 - 2022,Linseed,Rabi,130.0,111.0,0.85,1000,50
,,2021 - 2022,Maize,Kharif,881.0,2416.0,2.74,1000,50
,,2021 - 2022,Masoor,Rabi,41969.0,62954.0,1.5,1000,50
,,2021 - 2022,Moong(Green Gram),Kharif,2347.0,1033.0,0.44,1000,50
,,2021 - 2022,Peas & beans (Pulses),Rabi,946.0,691.0,0.73,1000,50
,,2021 - 2022,Rapeseed &Mustard,Rabi,2436.0,2302.0,0.94,1000,50
,,2021 - 2022,Rice,Kharif,100977.0,160216.66,1.59,1000,50
,,2021 - 2022,Soyabean,Kharif,39324.0,37830.0,0.96,1000,50
,,2021 - 2022,Urad,Kharif,157710.0,77278.0,0.49,1000,50
,,2021 - 2022,Wheat,Rabi,144956.0,435883.0,3.01,1000,50
,,2021 - 2022,Sesamum,Kharif,3009.0,1532.0,0.51,1000,50
,,2021 - 2022,Cotton(lint),Kharif,4.0,,,1000,50
,,2022 - 2023,Arhar/Tur,Kharif,4088.0,3728.0,0.91,1000,50
,,2022 - 2023,Gram,Rabi,109900.0,203315.0,1.85,1000,50
,,2022 - 2023,Groundnut,Kharif,56.0,126.0,2.25,1000,50
,,2022 - 2023,Jowar,Kharif,18.0,34.0,1.89,1000,50
,,2022 - 2023,Linseed,Rabi,531.0,455.0,0.86,1000,50
,,2022 - 2023,Maize,Kharif,2145.0,6097.0,2.84,1000,50
,,2022 - 2023,Masoor,Rabi,45500.0,66885.0,1.47,1000,50
,,2022 - 2023,Moong(Green Gram),Kharif,2694.0,2236.0,0.83,1000,50
,,2022 - 2023,Peas & beans (Pulses),Rabi,982.0,738.0,0.75,1000,50
,,2022 - 2023,Rapeseed &Mustard,Rabi,4396.0,4616.0,1.05,1000,50
,,2022 - 2023,Rice,Kharif,91167.0,345067.0,3.78,1000,50
,,2022 - 2023,Soyabean,Kharif,21586.0,20399.0,0.95,1000,50
,,2022 - 2023,Urad,Kharif,187483.0,127488.0,0.68,1000,50
,,2022 - 2023,Wheat,Rabi,172017.0,517255.0,3.01,1000,50
,,2022 - 2023,Sesamum,Kharif,1679.0,1270.0,0.76,1000,50
,14. Datia,1997 - 1998,Arhar/Tur,Kharif,4400.0,2700.0,0.61,1000,50
,14. Datia,1997 - 1998,Bajra,Kharif,200.0,300.0,1.5,1000,50
,14. Datia,1997 - 1998,Barley,Rabi,2600.0,4300.0,1.65,1000,50
,14. Datia,1997 - 1998,Groundnut,Kharif,4700.0,4400.0,0.94,1000,50
,14. Datia,1997 - 1998,Jowar,Kharif,5300.0,4900.0,0.92,1000,50
,14. Datia,1997 - 1998,Linseed,Rabi,1700.0,700.0,0.41,1000,50
,14. Datia,1997 - 1998,Maize,Kharif,500.0,500.0,1.0,1000,50
,14. Datia,1997 - 1998,Rapeseed &Mustard,Rabi,8300.0,3800.0,0.46,1000,50
,14. Datia,1997 - 1998,Soyabean,Kharif,4600.0,4600.0,1.0,1000,50
,14. Datia,1997 - 1998,Wheat,Rabi,49000.0,80800.0,1.65,1000,50
,14. Datia,1997 - 1998,Sesamum,Kharif,2300.0,900.0,0.39,1000,50
,,1998 - 1999,Arhar/Tur,Kharif,5700.0,4500.0,0.79,1000,50
,,1998 - 1999,Bajra,Kharif,800.0,1000.0,1.25,1000,50
,,1998 - 1999,Barley,Rabi,3500.0,6400.0,1.83,1000,50
,,1998 - 1999,Gram,Rabi,51800.0,64400.0,1.24,1000,50
,,1998 - 1999,Groundnut,Kharif,5200.0,4700.0,0.9,1000,50
,,1998 - 1999,Jowar,Kharif,7500.0,8600.0,1.15,1000,50
,,1998 - 1999,Linseed,Rabi,1900.0,1000.0,0.53,1000,50
,,1998 - 1999,Maize,Kharif,500.0,600.0,1.2,1000,50
,,1998 - 1999,Rapeseed &Mustard,Rabi,8400.0,5100.0,0.61,1000,50
,,1998 - 1999,Rice,Kharif,600.0,400.0,0.67,1000,50
,,1998 - 1999,Soyabean,Kharif,4900.0,3600.0,0.73,1000,50
,,1998 - 1999,Wheat,Rabi,66300.0,139400.0,2.1,1000,50
,,1998 - 1999,Sesamum,Kharif,2100.0,900.0,0.43,1000,50
,,1999 - 2000,Arhar/Tur,Kharif,4244.0,2977.0,0.7,1000,50
,,1999 - 2000,Bajra,Kharif,744.0,775.0,1.04,1000,50
,,1999 - 2000,Barley,Rabi,3228.0,6502.0,2.01,1000,50
,,1999 - 2000,Gram,Rabi,47548.0,70095.0,1.47,1000,50
,,1999 - 2000,Groundnut,Kharif,6796.0,7384.0,1.09,1000,50
,,1999 - 2000,Jowar,Kharif,5591.0,5612.0,1.0,1000,50
,,1999 - 2000,Linseed,Rabi,1290.0,775.0,0.6,1000,50
,,1999 - 2000,Maize,Kharif,534.0,772.0,1.45,1000,50
,,1999 - 2000,Other Rabi pulses,Rabi,38247.0,23899.0,0.62,1000,50
,,1999 - 2000,Other Kharif pulses,Kharif,7292.0,1920.0,0.26,1000,50
,,1999 - 2000,Rapeseed &Mustard,Rabi,8197.0,5086.0,0.62,1000,50
,,1999 - 2000,Rice,Kharif,1206.0,1735.0,1.44,1000,50
,,1999 - 2000,Soyabean,Kharif,1269.0,848.0,0.67,1000,50
,,1999 - 2000,Urad,Kharif,3888.0,1067.0,0.27,1000,50
,,1999 - 2000,Wheat,Rabi,70373.0,186801.0,2.65,1000,50
,,1999 - 2000,Castor seed,Kharif,1.0,1.0,1.0,1000,50
,,1999 - 2000,Sesamum,Kharif,1323.0,443.0,0.33,1000,50
,,1999 - 2000,Ginger,Kharif,11.0,8.0,0.73,1000,50
,,2000 - 2001,Arhar/Tur,Kharif,4747.0,3161.0,0.67,1000,50
,,2000 - 2001,Bajra,Kharif,653.0,1007.0,1.54,1000,50
,,2000 - 2001,Barley,Rabi,3337.0,6657.0,1.99,1000,50
,,2000 - 2001,Gram,Rabi,48027.0,63414.0,1.32,1000,50
,,2000 - 2001,Groundnut,Kharif,6928.0,7386.0,1.07,1000,50
,,2000 - 2001,Jowar,Kharif,6517.0,7673.0,1.18,1000,50
,,2000 - 2001,Linseed,Rabi,546.0,317.0,0.58,1000,50
,,2000 - 2001,Maize,Kharif,544.0,719.0,1.32,1000,50
,,2000 - 2001,Other Rabi pulses,Rabi,32307.0,15597.0,0.48,1000,50
,,2000 - 2001,Other Kharif pulses,Kharif,11079.0,2644.0,0.24,1000,50
,,2000 - 2001,Rapeseed &Mustard,Rabi,4379.0,2206.0,0.5,1000,50
,,2000 - 2001,Rice,Kharif,2024.0,1855.0,0.92,1000,50
,,2000 - 2001,Soyabean,Kharif,1877.0,1388.0,0.74,1000,50
,,2000 - 2001,Wheat,Rabi,65348.0,160887.0,2.46,1000,50
,,2000 - 2001,Sesamum,Kharif,2667.0,1620.0,0.61,1000,50
,,2000 - 2001,Small millets,Kharif,10.0,4.0,0.4,1000,50
,,2000 - 2001,Ginger,Kharif,17.0,14.0,0.82,1000,50
,,2001 - 2002,Arhar/Tur,Kharif,4133.0,3274.0,0.79,1000,50
,,2001 - 2002,Bajra,Kharif,584.0,676.0,1.16,1000,50
,,2001 - 2002,Barley,Rabi,5046.0,10716.0,2.12,1000,50
,,2001 - 2002,Gram,Rabi,60676.0,89791.0,1.48,1000,50
,,2001 - 2002,Groundnut,Kharif,11045.0,12407.0,1.12,1000,50
,,2001 - 2002,Jowar,Kharif,5372.0,5950.0,1.11,1000,50
,,2001 - 2002,Linseed,Rabi,675.0,454.0,0.67,1000,50
,,2001 - 2002,Maize,Kharif,897.0,1622.0,1.81,1000,50
,,2001 - 2002,Other Rabi pulses,Rabi,25523.0,13350.0,0.52,1000,50
,,2001 - 2002,Other Kharif pulses,Kharif,13832.0,5043.0,0.36,1000,50
,,2001 - 2002,Rapeseed &Mustard,Rabi,6472.0,3747.0,0.58,1000,50
,,2001 - 2002,Rice,Kharif,1978.0,2261.0,1.14,1000,50
,,2001 - 2002,Soyabean,Kharif,1806.0,1861.0,1.03,1000,50
,,2001 - 2002,Wheat,Rabi,67883.0,170064.0,2.51,1000,50
,,2001 - 2002,Sesamum,Kharif,2654.0,1594.0,0.6,1000,50
,,2001 - 2002,Small millets,Kharif,11.0,4.0,0.36,1000,50
,,2001 - 2002,Ginger,Kharif,8.0,7.0,0.88,1000,50
,,2002 - 2003,Arhar/Tur,Kharif,2841.0,1092.0,0.38,1000,50
,,2002 - 2003,Bajra,Kharif,1223.0,683.0,0.56,1000,50
,,2002 - 2003,Barley,Rabi,3333.0,6506.0,1.95,1000,50
,,2002 - 2003,Gram,Rabi,63670.0,87139.0,1.37,1000,50
,,2002 - 2003,Groundnut,Kharif,8285.0,5033.0,0.61,1000,50
,,2002 - 2003,Jowar,Kharif,4113.0,2016.0,0.49,1000,50
,,2002 - 2003,Linseed,Rabi,532.0,251.0,0.47,1000,50
,,2002 - 2003,Maize,Kharif,651.0,778.0,1.2,1000,50
,,2002 - 2003,Other Rabi pulses,Rabi,23262.0,10620.0,0.46,1000,50
,,2002 - 2003,Other Kharif pulses,Kharif,16181.0,3644.0,0.23,1000,50
,,2002 - 2003,Rapeseed &Mustard,Rabi,5660.0,2028.0,0.36,1000,50
,,2002 - 2003,Rice,Kharif,1166.0,769.0,0.66,1000,50
,,2002 - 2003,Soyabean,Kharif,528.0,311.0,0.59,1000,50
,,2002 - 2003,Wheat,Rabi,67281.0,128287.0,1.91,1000,50
,,2002 - 2003,Castor seed,Kharif,1.0,0.01,0.01,1000,50
,,2002 - 2003,Sesamum,Kharif,2125.0,626.0,0.29,1000,50
,,2002 - 2003,Small millets,Kharif,8.0,2.0,0.25,1000,50
,,2002 - 2003,Ginger,Kharif,21.0,6.0,0.29,1000,50
,,2003 - 2004,Arhar/Tur,Kharif,2959.0,1534.0,0.52,1000,50
,,2003 - 2004,Bajra,Kharif,1144.0,1213.0,1.06,1000,50
,,2003 - 2004,Barley,Rabi,3861.0,7828.0,2.03,1000,50
,,2003 - 2004,Gram,Rabi,61143.0,77075.0,1.26,1000,50
,,2003 - 2004,Groundnut,Kharif,9245.0,9089.0,0.98,1000,50
,,2003 - 2004,Jowar,Kharif,4346.0,4089.0,0.94,1000,50
,,2003 - 2004,Linseed,Rabi,485.0,364.0,0.75,1000,50
,,2003 - 2004,Maize,Kharif,1234.0,1661.0,1.35,1000,50
,,2003 - 2004,Other Rabi pulses,Rabi,27210.0,15303.0,0.56,1000,50
,,2003 - 2004,Other Kharif pulses,Kharif,26972.0,6598.0,0.24,1000,50
,,2003 - 2004,Rapeseed &Mustard,Rabi,7067.0,3755.0,0.53,1000,50
,,2003 - 2004,Rice,Kharif,1385.0,1981.0,1.43,1000,50
,,2003 - 2004,Soyabean,Kharif,606.0,527.0,0.87,1000,50
,,2003 - 2004,Urad,Kharif,23943.0,5954.0,0.25,1000,50
,,2003 - 2004,Wheat,Rabi,73465.0,180909.0,2.46,1000,50
,,2003 - 2004,Castor seed,Kharif,1.0,0.0,0.0,1000,50
,,2003 - 2004,Sesamum,Kharif,3108.0,2017.0,0.65,1000,50
,,2003 - 2004,Small millets,Kharif,6.0,3.0,0.5,1000,50
,,2003 - 2004,Ginger,Kharif,10.0,10.0,1.0,1000,50
,,2003 - 2004,other misc. pulses,Rabi,2970.0,0.01,0.0,1000,50
,,2004 - 2005,Arhar/Tur,Kharif,2093.0,924.0,0.44,1000,50
,,2004 - 2005,Bajra,Kharif,1091.0,858.0,0.79,1000,50
,,2004 - 2005,Barley,Rabi,3249.0,5664.0,1.74,1000,50
,,2004 - 2005,Gram,Rabi,49659.0,58110.0,1.17,1000,50
,,2004 - 2005,Groundnut,Kharif,9314.0,7137.0,0.77,1000,50
,,2004 - 2005,Jowar,Kharif,3464.0,2221.0,0.64,1000,50
,,2004 - 2005,Linseed,Rabi,372.0,217.0,0.58,1000,50
,,2004 - 2005,Maize,Kharif,1257.0,932.0,0.74,1000,50
,,2004 - 2005,Masoor,Rabi,16175.0,8069.0,0.5,1000,50
,,2004 - 2005,Rapeseed &Mustard,Rabi,11573.0,6938.0,0.6,1000,50
,,2004 - 2005,Rice,Kharif,1754.0,1147.0,0.65,1000,50
,,2004 - 2005,Soyabean,Kharif,761.0,515.0,0.68,1000,50
,,2004 - 2005,Urad,Kharif,15984.0,3727.0,0.23,1000,50
,,2004 - 2005,Wheat,Rabi,68463.0,139141.0,2.03,1000,50
,,2004 - 2005,Sesamum,Kharif,5768.0,2839.0,0.49,1000,50
,,2004 - 2005,Small millets,Kharif,6.0,1.0,0.17,1000,50
,,2004 - 2005,Ginger,Kharif,15.0,11.0,0.73,1000,50
,,2004 - 2005,Sunflower,Kharif,1.0,,0.0,1000,50
,,2005 - 2006,Arhar/Tur,Kharif,2055.0,1203.0,0.59,1000,50
,,2005 - 2006,Bajra,Kharif,1014.0,1310.0,1.29,1000,50
,,2005 - 2006,Barley,Rabi,2871.0,6567.0,2.29,1000,50
,,2005 - 2006,Gram,Rabi,36728.0,53828.0,1.47,1000,50
,,2005 - 2006,Groundnut,Kharif,8340.0,7622.0,0.91,1000,50
,,2005 - 2006,Jowar,Kharif,3442.0,3814.0,1.11,1000,50
,,2005 - 2006,Linseed,Rabi,304.0,215.0,0.71,1000,50
,,2005 - 2006,Maize,Kharif,1219.0,1546.0,1.27,1000,50
,,2005 - 2006,Masoor,Rabi,10967.0,6269.0,0.57,1000,50
,,2005 - 2006,Moong(Green Gram),Kharif,2335.0,681.0,0.29,1000,50
,,2005 - 2006,Peas & beans (Pulses),Rabi,25451.0,16942.0,0.67,1000,50
,,2005 - 2006,Rapeseed &Mustard,Rabi,13477.0,8650.0,0.64,1000,50
,,2005 - 2006,Rice,Kharif,1681.0,1592.0,0.95,1000,50
,,2005 - 2006,Soyabean,Kharif,794.0,699.0,0.88,1000,50
,,2005 - 2006,Urad,Kharif,11699.0,3566.0,0.3,1000,50
,,2005 - 2006,Wheat,Rabi,73569.0,158813.0,2.16,1000,50
,,2005 - 2006,Sesamum,Kharif,12243.0,7830.0,0.64,1000,50
,,2005 - 2006,Small millets,Kharif,3.0,1.0,0.33,1000,50
,,2006 - 2007,Arhar/Tur,Kharif,1471.0,730.0,0.5,1000,50
,,2006 - 2007,Bajra,Kharif,1022.0,1188.0,1.16,1000,50
,,2006 - 2007,Gram,Rabi,24629.0,26223.0,1.06,1000,50
,,2006 - 2007,Groundnut,Kharif,5998.0,4079.0,0.68,1000,50
,,2006 - 2007,Jowar,Kharif,3203.0,3392.0,1.06,1000,50
,,2006 - 2007,Linseed,Rabi,137.0,81.0,0.59,1000,50
,,2006 - 2007,Maize,Kharif,1408.0,1036.0,0.74,1000,50
,,2006 - 2007,Masoor,Rabi,4943.0,2261.0,0.46,1000,50
,,2006 - 2007,Moong(Green Gram),Kharif,1580.0,461.0,0.29,1000,50
,,2006 - 2007,Peas & beans (Pulses),Rabi,19051.0,10535.0,0.55,1000,50
,,2006 - 2007,Rapeseed &Mustard,Rabi,8932.0,4704.0,0.53,1000,50
,,2006 - 2007,Rice,Kharif,1455.0,1230.0,0.85,1000,50
,,2006 - 2007,Soyabean,Kharif,416.0,338.0,0.81,1000,50
,,2006 - 2007,Urad,Kharif,8218.0,2505.0,0.3,1000,50
,,2006 - 2007,Wheat,Rabi,97516.0,169236.0,1.74,1000,50
,,2006 - 2007,Jute,Kharif,5.0,,,1000,50
,,2006 - 2007,Mesta,Kharif,2.0,,,1000,50
,,2006 - 2007,Ginger,Kharif,8.0,6.0,0.75,1000,50
,,2007 - 2008,Arhar/Tur,Kharif,2633.0,754.0,0.29,1000,50
,,2007 - 2008,Bajra,Kharif,2164.0,1385.0,0.64,1000,50
,,2007 - 2008,Barley,Rabi,4787.0,6968.0,1.46,1000,50
,,2007 - 2008,Gram,Rabi,22536.0,17242.0,0.77,1000,50
,,2007 - 2008,Groundnut,Kharif,5714.0,3715.0,0.65,1000,50
,,2007 - 2008,Jowar,Kharif,3800.0,3366.0,0.89,1000,50
,,2007 - 2008,Linseed,Rabi,60.0,29.0,0.48,1000,50
,,2007 - 2008,Maize,Kharif,916.0,754.0,0.82,1000,50
,,2007 - 2008,Masoor,Rabi,2421.0,852.0,0.35,1000,50
,,2007 - 2008,Peas & beans (Pulses),Rabi,13031.0,5339.0,0.41,1000,50
,,2007 - 2008,Rapeseed &Mustard,Rabi,9798.0,4366.0,0.45,1000,50
,,2007 - 2008,Rice,Kharif,1528.0,1369.0,0.9,1000,50
,,2007 - 2008,Sannhamp,Kharif,20.0,6.0,0.3,1000,50
,,2007 - 2008,Soyabean,Kharif,352.0,160.0,0.45,1000,50
,,2007 - 2008,Urad,Kharif,11908.0,2310.0,0.19,1000,50
,,2007 - 2008,Wheat,Rabi,88482.0,151820.0,1.72,1000,50
,,2008 - 2009,Arhar/Tur,Kharif,601.0,410.0,0.68,1000,50
,,2008 - 2009,Bajra,Kharif,813.0,1588.0,1.95,1000,50
,,2008 - 2009,Barley,Rabi,5123.0,9213.0,1.8,1000,50
,,2008 - 2009,Gram,Rabi,28805.0,36040.0,1.25,1000,50
,,2008 - 2009,Groundnut,Kharif,2809.0,2693.0,0.96,1000,50
,,2008 - 2009,Jowar,Kharif,2342.0,2035.0,0.87,1000,50
,,2008 - 2009,Linseed,Rabi,262.0,198.0,0.76,1000,50
,,2008 - 2009,Maize,Kharif,2356.0,2644.0,1.12,1000,50
,,2008 - 2009,Masoor,Rabi,2156.0,1422.0,0.66,1000,50
,,2008 - 2009,Peas & beans (Pulses),Rabi,16176.0,11596.0,0.72,1000,50
,,2008 - 2009,Rapeseed &Mustard,Rabi,11300.0,7170.0,0.63,1000,50
,,2008 - 2009,Rice,Kharif,3960.0,4995.0,1.26,1000,50
,,2008 - 2009,Sannhamp,Kharif,12.0,4.0,0.33,1000,50
,,2008 - 2009,Soyabean,Kharif,270.0,177.0,0.66,1000,50
,,2008 - 2009,Urad,Kharif,6404.0,1597.0,0.25,1000,50
,,2008 - 2009,Wheat,Rabi,117578.0,229352.0,1.95,1000,50
,,2008 - 2009,Castor seed,Kharif,75.0,25.0,0.33,1000,50
,,2009 - 2010,Jowar,Kharif,2037.0,2253.0,1.11,1000,50
,,2009 - 2010,Jowar,Rabi,22.0,21.0,0.95,1000,50
,,2009 - 2010,Moong(Green Gram),Kharif,1897.0,454.0,0.24,1000,50
,,2009 - 2010,Urad,Kharif,8236.0,1826.0,0.22,1000,50
,,2009 - 2010,Cowpea(Lobia),Kharif,3.0,1.0,0.33,1000,50
,,2010 - 2011,Arhar/Tur,Kharif,5376.0,965.0,0.18,1000,50
,,2010 - 2011,Bajra,Kharif,910.0,1066.0,1.17,1000,50
,,2010 - 2011,Barley,Rabi,3188.0,7144.0,2.24,1000,50
,,2010 - 2011,Gram,Rabi,19387.0,20477.0,1.06,1000,50
,,2010 - 2011,Groundnut,Kharif,5345.0,5960.0,1.12,1000,50
,,2010 - 2011,Jowar,Kharif,1568.0,1900.0,1.21,1000,50
,,2010 - 2011,Jowar,Rabi,11.0,6.0,0.55,1000,50
,,2010 - 2011,Linseed,Rabi,57.0,27.0,0.47,1000,50
,,2010 - 2011,Maize,Kharif,1974.0,2078.0,1.05,1000,50
,,2010 - 2011,Masoor,Rabi,3766.0,1203.0,0.32,1000,50
,,2010 - 2011,Moong(Green Gram),Kharif,1308.0,381.0,0.29,1000,50
,,2010 - 2011,Peas & beans (Pulses),Rabi,10817.0,3343.0,0.31,1000,50
